"id","Eastin","Northing","rawSignId","signsPhotoURL","sign1_category","sign1_direction","sign1_description","sign2_category","sign2_direction","sign2_description","sign3_category","sign3_direction","sign3_description","sign4_category","sign4_direction","sign4_description"
"9996f1a9-7986-4f58-b7a8-ee4b64468235",331879.76848687,6259074.9344909,206927,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/e14fc5188a7e16a0a3c7fc6cf7dbc78598986fb0c8b299ba13-md.jpg","No Parking","right","Council Vehicle","No Stopping","left","","","","","","",""
"463d4398-075b-4efb-b66c-2a708dc9bee8",331867.1523451,6259070.2754392,206928,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/4e9fe035338d19a9452a9eb9cd39f10b7fa64cdc09bad4496d-md.jpg","Loading Zone","right","","No Parking","left","Council Vehicle","","","","","",""
"22fc53b6-414b-4a74-a8eb-c33f25c39764",331848.31059088,6259062.9569289,206929,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/2516eb452d780858fd399d05117684730ae0c82542e2a29f41-md.jpg","Loading Zone","both","","","","","","","","","",""
"cd627ebc-71b1-4c47-b800-4eba90b50e2c",331829.80691628,6259055.1985081,206930,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/cabfb7ad39e56359987fbfd772924b3daf13d7179724d6970e-md.jpg","","","","","","","","","","","",""
"373a95b1-1bbd-4baa-b1e9-15a016abfd3a",331816.56409034,6259049.9695724,206931,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/fc471616eb50d57dae96cf5d0a16b859b250af5678340319ef-md.jpg","No Stopping","right","","Loading Zone","left","","","","","","",""
"8b3e5e99-9634-466a-8bc1-b1d83183af28",331802.21632127,6259044.7206408,206932,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/d0055ee0bb927c58faa9023171aaaa3d24c5548605ad7edf78-md.jpg","No Stopping","both","","","","","","","","","",""
"cbd80735-ec78-4dbb-a227-06de646e367a",331827.49807988,6258571.8368949,206902,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/e8e2f6620fc914a317cea7a55aa56ba4008875fba48d6eb82a-md.jpg","No Stopping","both","","","","","","","","","",""
"d09b1053-e9e3-4cd5-b1e0-d9c519068834",331805.96818042,6258563.8085291,207921,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/8503ab7fa90f686de6a8ad8c6e1deddd6363c3a6c29ef3e08f-md.jpg","No Stopping","both","","","","","","","","","",""
"96ad9fd0-65ca-4337-8d8d-29545ed204d0",331954.87988256,6258954.3490357,207423,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/af06539b27ddc171df2f2fd4e00dead59cf3d56dc246286e8b-md.jpg","Mail Zone","right","","Loading Zone","right","Maximum Duration: 15","No Stopping","left","","","",""
"4c0dd004-84c5-4102-918e-208419862bf7",331962.38360087,6258958.0282868,207424,"https://s3-ap-southeast-2.amazonaws.com/data-collection.spotparking.com.au/production/raw-data-points/2565c5283277f4eccd24efff26920dbcccd6c1ebb672ed6290-md.jpg","Loading Zone","left","Maximum Duration: 15","No Stopping","right","","Mail Zone","left","","","",""
